,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
69,2021-02-06,HC Podravka Vegeta,Győri Audi ETO KC,15,33,NH,299,341,299,341,0.034722222222222224,0.13194444444444445,L,L,D,L,L,W,D,W,W,W,12.0,LLDLL,WDWWW,1,9,0,0,0,0,1,0,0,0,0.0,0.0,-0.09722222222222222,-0.05555555555555555
70,2021-02-07,CSKA,Buducnost BEMAX,27,23,H,313,278,313,278,0.11805555555555557,0.06944444444444445,W,W,W,L,L,L,W,D,W,W,12.0,WWWLL,LWDWW,6,7,0,0,0,0,0,0,0,0,0.0,0.0,0.04861111111111111,-0.006944444444444444
71,2021-02-07,Odense Håndbold,SCM Ramnicu Valcea,25,26,NH,305,286,305,286,0.09027777777777778,0.027777777777777776,W,L,D,L,W,L,L,L,W,L,12.0,WLDLW,LLLWL,5,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0625,0.020833333333333332
72,2021-02-13,Vipers Kristiansand,RK Krim Mercator,37,30,H,331,299,331,299,0.11242603550295857,0.04733727810650888,W,W,W,W,D,W,W,L,L,D,13.0,WWWWD,WWLLD,9,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0650887573964497,0.02366863905325444
73,2021-02-14,Team Esbjerg,SG BBM Bietigheim,37,29,H,326,303,326,303,0.04733727810650888,0.00591715976331361,L,L,W,W,D,L,L,L,L,D,13.0,LLWWD,LLLLD,5,1,0,0,0,0,0,0,0,0,0.0,0.0,0.04142011834319526,0.02366863905325444
74,2020-09-12,Rostov-Don,FTC-Rail Cargo Hungaria,32,27,H,334,338,334,338,0.10059171597633136,0.09467455621301776,L,L,W,W,L,W,W,W,L,W,13.0,LLWWL,WWWLW,4,8,0,0,0,0,0,0,0,0,0.0,0.0,0.00591715976331361,-0.02366863905325444
75,2021-02-13,Metz Handball,CSM Bucuresti,22,19,H,336,321,336,321,0.07692307692307693,0.08284023668639053,L,L,L,W,W,W,W,L,L,L,13.0,LLLWW,WWLLL,4,4,0,0,0,0,0,0,1,0,0.0,0.0,-0.00591715976331361,0.0
76,2021-02-13,Odense Håndbold,Győri Audi ETO KC,24,31,NH,330,374,330,374,0.07692307692307693,0.1242603550295858,L,W,L,D,L,W,W,D,W,W,13.0,LWLDL,WWDWW,3,9,0,0,0,0,0,0,0,0,0.0,0.0,-0.04733727810650888,-0.03550295857988166
77,2021-02-13,Buducnost BEMAX,HC Podravka Vegeta,33,26,H,301,314,301,314,0.0591715976331361,0.02958579881656805,L,L,W,D,W,L,L,L,D,L,13.0,LLWDW,LLLDL,5,1,0,0,0,0,0,0,0,0,0.0,0.0,0.02958579881656805,0.02366863905325444
78,2021-02-14,CSKA,Brest Bretagne Handball,32,24,H,340,355,340,355,0.11242603550295857,0.08875739644970414,W,W,W,W,L,D,L,D,D,W,13.0,WWWWL,DLDDW,8,5,0,0,0,0,0,0,0,0,0.0,0.0,0.02366863905325444,0.01775147928994083
79,2021-02-14,SCM Ramnicu Valcea,BV Borussia 09 Dortmund,24,33,NH,312,336,312,336,0.03550295857988166,0.04142011834319526,W,L,L,L,W,D,W,W,L,L,13.0,WLLLW,DWWLL,4,5,0,0,0,0,0,0,0,0,0.0,0.0,-0.00591715976331361,-0.00591715976331361
80,2021-02-21,Rostov-Don,SG BBM Bietigheim,33,27,H,366,332,366,332,0.09693877551020409,0.00510204081632653,W,L,L,W,W,L,L,L,L,L,14.0,WLLWW,LLLLL,6,0,0,0,0,0,0,0,1,1,0.0,0.0,0.09183673469387756,0.030612244897959183
81,2021-02-21,Vipers Kristiansand,FTC-Rail Cargo Hungaria,25,25,NH,368,365,368,365,0.10714285714285714,0.08163265306122448,W,W,W,W,W,L,W,W,W,L,14.0,WWWWW,LWWWL,10,6,1,1,0,0,0,0,0,0,0.0,0.0,0.025510204081632654,0.02040816326530612
82,2021-02-22,Team Esbjerg,Metz Handball,20,27,NH,363,358,363,358,0.05102040816326531,0.07653061224489796,W,L,L,W,W,W,L,L,L,W,14.0,WLLWW,WLLLW,6,4,0,0,0,0,0,0,0,0,0.0,0.0,-0.025510204081632654,0.01020408163265306
83,2021-02-22,CSM Bucuresti,RK Krim Mercator,31,30,H,340,329,340,329,0.07142857142857142,0.04081632653061224,L,W,W,L,L,L,W,W,L,L,14.0,LWWLL,LWWLL,4,4,0,0,0,0,0,0,0,0,0.0,0.0,0.030612244897959183,0.0
84,2021-02-21,BV Borussia 09 Dortmund,Odense Håndbold,26,30,NH,369,354,369,354,0.04591836734693878,0.0663265306122449,W,D,W,W,L,L,L,W,L,D,14.0,WDWWL,LLWLD,7,3,0,0,0,0,0,0,0,0,0.0,0.0,-0.02040816326530612,0.02040816326530612
85,2021-02-22,CSKA,HC Podravka Vegeta,34,22,H,372,340,372,340,0.10714285714285714,0.025510204081632654,W,W,W,W,W,L,L,L,L,D,14.0,WWWWW,LLLLD,10,1,1,1,0,0,0,0,0,0,0.0,0.0,0.08163265306122448,0.04591836734693878
86,2021-02-22,Győri Audi ETO KC,Buducnost BEMAX,29,22,H,405,334,405,334,0.1173469387755102,0.061224489795918366,W,W,W,D,W,W,L,L,W,D,14.0,WWWDW,WLLWD,9,5,0,0,0,0,0,0,0,0,0.0,0.0,0.05612244897959184,0.02040816326530612
87,2021-02-22,SCM Ramnicu Valcea,Brest Bretagne Handball,23,25,NH,336,379,336,379,0.030612244897959183,0.07653061224489796,L,W,L,L,L,L,D,L,D,D,14.0,LWLLL,LDLDD,2,3,0,0,1,0,0,0,0,0,0.0,0.0,-0.04591836734693878,-0.00510204081632653
88,2021-03-14,Rostov-Don,HC Podravka Vegeta,42,24,H,399,362,399,362,0.09333333333333332,0.02222222222222222,W,W,L,L,W,L,L,L,L,L,15.0,WWLLW,LLLLL,6,0,0,0,0,0,0,0,1,1,0.0,0.0,0.07111111111111111,0.02666666666666667
89,2021-03-13,CSM Bucuresti,SCM Ramnicu Valcea,21,27,NH,371,359,371,359,0.07111111111111111,0.02666666666666667,W,L,W,W,L,L,L,W,L,L,15.0,WLWWL,LLWLL,6,2,0,0,0,0,0,0,0,0,0.0,0.0,0.04444444444444444,0.017777777777777778
90,2021-03-14,Vipers Kristiansand,Odense Håndbold,35,36,NH,393,384,393,384,0.09777777777777777,0.06666666666666667,D,W,W,W,W,W,L,L,W,L,15.0,DWWWW,WLLWL,9,4,1,0,0,0,0,0,0,0,0.0,0.0,0.03111111111111111,0.02222222222222222
91,2021-03-13,FTC-Rail Cargo Hungaria,Buducnost BEMAX,29,28,H,390,356,390,356,0.07555555555555556,0.05333333333333334,D,L,W,W,W,L,W,L,L,W,15.0,DLWWW,LWLLW,7,4,1,0,0,0,0,0,0,0,0.0,0.0,0.02222222222222222,0.013333333333333334
